person_id,person_name_en,panel,date,kind,source,title_en,title_zh,summary_en,summary_zh,url
sam-altman,Sam Altman,posts,2026-07-09,interview,CNBC,GPT-5.6 Sol is 54% more token-efficient on agentic coding,GPT-5.6 Sol 在 agentic coding 上 token 效率提升 54%,Sol / Terra / Luna shipped broadly in July 2026.,Sol / Terra / Luna 于 2026 年 7 月全面发布。,https://www.cnbc.com/2026/07/09/open-ai-sam-altman-chatgpt-5-6-sol.html
sam-altman,Sam Altman,posts,2025-06-10,blog,blog.samaltman.com,The Gentle Singularity,温和的奇点,"'In the 2030s, intelligence and energy are going to become wildly abundant.' The staged forecast: 2025 agents that do real cognitive work, 2026 systems that find novel insights, 2027 robots that act in the world.",「进入 2030 年代，智能与能源将变得极度充裕。」分阶段预测：2025 年出现能做真实认知工作的智能体，2026 年出现能发现新洞见的系统，2027 年出现能在现实中行动的机器人。,https://blog.samaltman.com/the-gentle-singularity
sam-altman,Sam Altman,posts,2026-03-12,interview,Fortune,"AI is breaking the labour–capital balance, and nobody knows what to do",AI 正在打破劳动与资本的平衡，而没人知道该怎么办,,,https://fortune.com/2026/03/12/sam-altman-ai-labor-capital-jobs-nobody-knows/
sam-altman,Sam Altman,posts,2026-09-23,blog,OpenAI News,Sam Altman’s remarks at the United Nations Security Council,Sam Altman’s remarks at the United Nations Security Council,"Altman's own remarks to the UN Security Council address AI safety, human control, and the case for international cooperation.",奥特曼在联合国安理会的发言，阐述了他对AI安全、人类控制以及国际合作的立场。,https://openai.com/index/sam-altman-un-security-council-remarks
sam-altman,Sam Altman,posts,2026-09-12,podcast,Fortune 500: Titans and Disruptors of…,Sam Altman: Safety Standards 'Not at a Place' to Push AI Capabilities Much Further | Titans and Disruptors,Sam Altman: Safety Standards 'Not at a Place' to Push AI Capabilities Much Further | Titans and Disruptors,Altman told Fortune's Alyson Shontell that AI safety standards are not yet at a place that justifies pushing capabilities much further.,奥尔特曼在接受《财富》杂志主编Alyson Shontell采访时表示，AI安全标准尚未达到可以进一步大幅推进能力的水平。,https://podcasts.apple.com/us/podcast/sam-altman-safety-standards-not-at-a-place-to-push/id1836231455?i=1000789192925&uo=4
sam-altman,Sam Altman,posts,2026-09-12,podcast,Fortune 500: Titans and Disruptors of…,Sam Altman: AI Beyond Human Control “Absolutely Possible” | Titans and Disruptors,Sam Altman: AI Beyond Human Control “Absolutely Possible” | Titans and Disruptors,"Altman told Fortune's editor-in-chief that AI moving beyond human control is 'absolutely possible,' discussing the balance between scientific progress and existential risk.",Altman在接受《财富》主编采访时表示，AI失控「绝对是可能的」，并谈及科学进步与生存性风险之间的平衡。,https://podcasts.apple.com/us/podcast/sam-altman-ai-beyond-human-control-absolutely-possible/id1836231455?i=1000789192925&uo=4
sam-altman,Sam Altman,posts,2026-09-08,x,@sama,I spent much of the weekend talking with the team who did this work. Seb--and everyone else--acted with integrity and generosity throughout. Initially we believ,I spent much of the weekend talking with the team who did this work. Seb--and everyone else--acted with integrity and generosity throughout. Initially we believ,"He praises the integrity and effort of the team, including Seb, behind a research result that took much of the weekend to sort through.",他称赞了包括Seb在内的团队在一项研究成果背后展现出的诚信与努力，该事件耗费了他大部分周末时间去处理。,https://x.com/sama/status/2097385167002415140
sam-altman,Sam Altman,posts,2026-09-08,x,@sama,One of the most amazing moments for me in OpenAI history was watching this happen over the past week:,One of the most amazing moments for me in OpenAI history was watching this happen over the past week:,"He calls a recent development one of the most amazing moments in OpenAI's history, without detailing specifics.",他称最近的一项进展是OpenAI历史上最令人惊叹的时刻之一，但未透露具体细节。,https://x.com/sama/status/2097380249910854023
sam-altman,Sam Altman,posts,2026-09-08,x,@sama,"Images 2.5 is here. I don't think it can solve super difficult math problems, but it is really good and we hope you enjoy it. https://t.co/LdZhGF5AcZ","Images 2.5 is here. I don't think it can solve super difficult math problems, but it is really good and we hope you enjoy it. https://t.co/LdZhGF5AcZ","He announced the launch of Images 2.5, noting it isn't built for solving hard math problems but should be broadly enjoyable.",他宣布了Images 2.5的发布，表示该功能并非为解决高难度数学问题而设计，但应能带来广泛的使用乐趣。,https://x.com/sama/status/2097410967978324010
sam-altman,Sam Altman,posts,2026-09-08,x,@sama,We want to celebrate with people using GPT-6. We did this for GPT-5.5 and it was really fun. We’re getting together in SF on September 16 to talk about the mode,We want to celebrate with people using GPT-6. We did this for GPT-5.5 and it was really fun. We’re getting together in SF on September 16 to talk about the mode,"He announced an in-person GPT-6 user meetup in San Francisco on September 16, following a similar event for GPT-5.5.",他宣布将于9月16日在旧金山举行GPT-6用户线下聚会，此前曾为GPT-5.5举办过类似活动。,https://x.com/sama/status/2097404861642137851
