rank,id,name_en,name_zh,role_en,role_zh,org,region_en,category,tier,score_total,posts,news,tags
1,sam-altman,Sam Altman,Sam Altman,"Co-founder & CEO, OpenAI",OpenAI 联合创始人兼 CEO,OpenAI,United States,lab,t1,98.1,72,199,OpenAI|ChatGPT|GPT-5.6|IPO|Compute
2,jensen-huang,Jensen Huang,黄仁勋,"Founder & CEO, NVIDIA",NVIDIA 创始人兼 CEO,NVIDIA,United States,platform,t1,97.7,34,303,NVIDIA|CUDA|Vera Rubin|Blackwell|Compute|Chips
3,elon-musk,Elon Musk,Elon Musk,"CEO, SpaceX (incl. xAI / SpaceXAI); CEO, Tesla",SpaceX（含 xAI / SpaceXAI）CEO；Tesla CEO,SpaceX,United States,lab,t1,95.7,56,143,SpaceX|xAI|Grok|Colossus 2|Tesla|SpaceXAI
4,mark-zuckerberg,Mark Zuckerberg,Mark Zuckerberg,"Founder & CEO, Meta",Meta 创始人兼 CEO,Meta,United States,platform,t1,92.1,21,73,Meta|Superintelligence Labs|Muse Spark|Meta Compute|Llama
5,dario-amodei,Dario Amodei,Dario Amodei,"Co-founder & CEO, Anthropic",Anthropic 联合创始人兼 CEO,Anthropic,United States,lab,t1,89.7,46,107,Anthropic|Claude|Scaling Laws|IPO|AI Safety
6,demis-hassabis,Demis Hassabis,Demis Hassabis,"Chair, Google DeepMind; Chief Scientist, Alphabet; CEO, Isomorphic Labs",Google DeepMind 董事长；Alphabet 首席科学家；Isomorphic Labs CEO,Google DeepMind,United Kingdom,lab,t1,88.3,94,23,Google DeepMind|Gemini|AlphaFold|Isomorphic Labs|Nobel Prize
7,sundar-pichai,Sundar Pichai,Sundar Pichai,"CEO, Alphabet & Google",Alphabet 与 Google CEO,Google,United States / India,platform,t1,85.9,60,23,Google|Gemini|TPU|Alphabet|Capex
8,satya-nadella,Satya Nadella,Satya Nadella,"Chairman & CEO, Microsoft",Microsoft 董事长兼 CEO,Microsoft,United States / India,platform,t1,85.5,70,47,Microsoft|Azure|Copilot|MAI|OpenAI stake|Maia
9,lisa-su,Lisa Su,苏姿丰,"Chair & CEO, AMD",AMD 董事长兼 CEO,AMD,United States / Taiwan,platform,t1,79.3,62,31,AMD|MI450|ROCm|Instinct|Helios
10,yann-lecun,Yann LeCun,杨立昆,"Co-founder & Chief Scientist, AMI (Advanced Machine Intelligence Labs)",AMI（Advanced Machine Intelligence Labs）联合创始人兼首席科学家,AMI Labs,France / United States,embodied,t1,79.2,57,51,AMI Labs|World Models|JEPA|Turing Award|CNN|Paris
11,alexandr-wang,Alexandr Wang,Alexandr Wang,"Chief AI Officer, Meta; Head of Meta Superintelligence Labs",Meta 首席 AI 官；超级智能实验室负责人,Meta,United States,lab,t1,79.0,70,15,Meta|MSL|Scale AI|TBD Lab|Data
12,ilya-sutskever,Ilya Sutskever,Ilya Sutskever,"Co-founder & Chief Scientist, Safe Superintelligence (SSI)",Safe Superintelligence (SSI) 联合创始人兼首席科学家,SSI,United States / Canada,lab,t1,78.6,44,22,SSI|Superintelligence|AlexNet|seq2seq|No product
13,fei-fei-li,Fei-Fei Li,李飞飞,"Founder & CEO, World Labs; Co-Director, Stanford HAI",World Labs 创始人兼 CEO；斯坦福以人为本 AI 研究院共同院长,World Labs,United States / China,embodied,t1,77.5,98,80,World Labs|Marble|Spatial Intelligence|ImageNet|Stanford HAI
14,sergey-brin,Sergey Brin,Sergey Brin,"Co-founder, Google",Google 联合创始人,Google,United States,platform,t1,77.5,15,16,Google|Gemini|Recursive self-improvement|Founder return
15,mira-murati,Mira Murati,Mira Murati,"Founder & CEO, Thinking Machines Lab",Thinking Machines Lab 创始人兼 CEO,Thinking Machines Lab,United States / Albania,lab,t1,75.3,32,20,Thinking Machines|Tinker|Post-training|Turmoil
